payoff_tx_hash,payoff_ts,token_symbol,victim_address,attack_type,attack_tx_hash,attack_attempts,payoff_value_usd,hours_until_payoff,etherscan_link
0xfbac8a7f99c188ceb38bd6e5d9b12b2e88b4ad79d06625be86521fe5e986f156,2025-05-26 03:38:59.000000 UTC,USDT,0x86c0300fc369e54d22512564cc0e8cc261102604,zero_value,0x4a6046ade9b34e39dd83d3b3e9daff4fb5156d355ba0b8b0e373bbb66814cc3e,"[0x51dc49ff4c283f5b116c7689c3b44df60aa3f77c5df274b37ed32434742da045,0xaf7450ab64ce5eccdf33f38b465850af56a4f6ad20b65b57ff93cad5ec352665,0x8ef2dc8f1c0d2729161aa558ef9ef7b4342df0a6d66b9be40e64dab9d4e19e81,0x4a6046ade9b34e39dd83d3b3e9daff4fb5156d355ba0b8b0e373bbb66814cc3e]",1754893.457191,5,https://etherscan.io/tx/0xfbac8a7f99c188ceb38bd6e5d9b12b2e88b4ad79d06625be86521fe5e986f156
0xf55a4ed3cdb8bdadbe8f23d87cb52231b92357ad95ff41c97c211e5612aa9c2d,2025-05-25 23:48:23.000000 UTC,USDT,0x86c0300fc369e54d22512564cc0e8cc261102604,zero_value,0x4a6046ade9b34e39dd83d3b3e9daff4fb5156d355ba0b8b0e373bbb66814cc3e,"[0x51dc49ff4c283f5b116c7689c3b44df60aa3f77c5df274b37ed32434742da045,0xaf7450ab64ce5eccdf33f38b465850af56a4f6ad20b65b57ff93cad5ec352665,0x8ef2dc8f1c0d2729161aa558ef9ef7b4342df0a6d66b9be40e64dab9d4e19e81,0x4a6046ade9b34e39dd83d3b3e9daff4fb5156d355ba0b8b0e373bbb66814cc3e]",843166.835945,1,https://etherscan.io/tx/0xf55a4ed3cdb8bdadbe8f23d87cb52231b92357ad95ff41c97c211e5612aa9c2d
0xa80805c97f5008637c4706b03316f61429ca3243f84b1124630d32a9540915df,2025-04-20 03:02:23.000000 UTC,USDT,0xcf03aa88afda357c837b9ddd38a678e3ad7cd5d7,zero_value,0x30714a52580828b27d69a711601c637c1e93b06414aed782272d73186b2c1919,[0x30714a52580828b27d69a711601c637c1e93b06414aed782272d73186b2c1919],699990,0,https://etherscan.io/tx/0xa80805c97f5008637c4706b03316f61429ca3243f84b1124630d32a9540915df
0x1ae39db5c369689990964a21cd62fba7a67291b1a739d2831f8ed51580e6f868,2025-03-31 14:15:59.000000 UTC,USDT,0x0d534863a71d5e68d5c919a4c2ef47c3a7a792c0,tiny_transfer,0x6354d205f77d9731595463fa0e53df2187184ecdcce35c3365ff7389a9f23cea,"[0x6354d205f77d9731595463fa0e53df2187184ecdcce35c3365ff7389a9f23cea,0x6a12f511e50d247d2f515d954a87846536bffc9140a492a0c3d80ac872ce9b95,0x6354d205f77d9731595463fa0e53df2187184ecdcce35c3365ff7389a9f23cea,0x6a12f511e50d247d2f515d954a87846536bffc9140a492a0c3d80ac872ce9b95]",510294.361225,0,https://etherscan.io/tx/0x1ae39db5c369689990964a21cd62fba7a67291b1a739d2831f8ed51580e6f868
0x06b4cad862f7e5873e6f03ff932090129905fe00be90d221a99c3c6246b1100d,2024-11-04 08:56:11.000000 UTC,USDT,0x405a2bdf89b1c9c0626a48486408306815b01d47,zero_value,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,"[0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602,0xb0581ba324fe0ebbfa6507b29b07f5ede9fd5065547bce10c53f13d708104602]",150000,19,https://etherscan.io/tx/0x06b4cad862f7e5873e6f03ff932090129905fe00be90d221a99c3c6246b1100d
0x7e115bc898788e38d54f5e6324e57f1a1389e1230275a53a741268edd43441d9,2025-04-11 14:24:23.000000 UTC,USDC,0x2e5df068f6cf3a1a3e0a70951c685021cb2954c0,zero_value,0xf01307342006b56e30271f6135c933c88a61da27228b0970d9e23e549e8d79c4,"[0x7990908fcfb0c81d620f5efb0197c6a7f46300bce7ee00c64662fad0ee3eee47,0x5d471b2f67058a9f19710ff4b0f679dfb4be8cacd2047255f1e4e80c14c91c97,0x55a5605cedc7f726b5b128689a00ee884bb0c6f9f431b1495511cd84af4eb652,0x036280299ff5d7047d7f703458553d1a0dc1a63a1bc3ff5028f202419481fb74,0x9421596f45ba9e5f02d978ab042015bf39489ab64ba32c0a7ab05217016470d8,0x932879d6bacdbcae5e8b2f165addfc3b5e179c30c44b3dd7ce35aa177d1bbb2f,0x9835deb4c46d64d9769a14330bc3b9f766663a70f8b717253ce7c78ad6ee0b71,0xef5d369e42d18e8e76258f54023d67885361a63de60aae05073e8d8395da509f,0xf01307342006b56e30271f6135c933c88a61da27228b0970d9e23e549e8d79c4]",150000,2,https://etherscan.io/tx/0x7e115bc898788e38d54f5e6324e57f1a1389e1230275a53a741268edd43441d9
0x58dc659fa7be54bbff8af3e9c972ab7475532dc0433fc9a2e4e10f5d08e33c8d,2024-11-15 07:52:11.000000 UTC,USDT,0xb16a9005703c11961b28bb5fe675323d952e5048,zero_value,0x8184ff15782af98b64825debfbf6ee2c294d4b56523e3f35aecb13c9e552e78e,"[0x8184ff15782af98b64825debfbf6ee2c294d4b56523e3f35aecb13c9e552e78e,0x8184ff15782af98b64825debfbf6ee2c294d4b56523e3f35aecb13c9e552e78e]",111500,1533,https://etherscan.io/tx/0x58dc659fa7be54bbff8af3e9c972ab7475532dc0433fc9a2e4e10f5d08e33c8d
0x5d4396daab722d33353fd482c6bdc1f00b0134d7752397fa7be294967a7de105,2025-03-17 18:04:23.000000 UTC,USDT,0xb1050cb23b2110f3457a011a61c496c9137dcef2,tiny_transfer,0x8baf3dc6c28a079437bd1306277cf4e14c69e54313b76613d253329eb4e5f57d,"[0x8baf3dc6c28a079437bd1306277cf4e14c69e54313b76613d253329eb4e5f57d,0x1660ca6b6eb2ea6b148bacb065ec03d3f771fbd20d56f9a5d2db7ab5ee3e0687]",103100,3,https://etherscan.io/tx/0x5d4396daab722d33353fd482c6bdc1f00b0134d7752397fa7be294967a7de105
0xb4008e2db133bfa84034198c0f1cdd829909009a167b0a011e6ef18681499073,2025-07-14 14:15:35.000000 UTC,USDT,0xff275bdd99c64c02e305504eaa36a6e9d90b20b4,zero_value,0x11a0eb2b6754f0ca18d6b7a2dd09f3267798c55bbe269b0f29e889bdd86218d4,"[0x826ec5f779cd3cc9a16115b51a2319706b1ee63ea6ebf644650ad082e30ed6d4,0xee2d5ae9c590007ef4d8569606761b9d4918382a4aeb34ed3ad2424805baa4e0,0xc3bc9c5cd3b7a03dbddbbe1a063bed1e3b89de936b5d44776ed2be983eba1636,0x11a0eb2b6754f0ca18d6b7a2dd09f3267798c55bbe269b0f29e889bdd86218d4]",101082.210919,629,https://etherscan.io/tx/0xb4008e2db133bfa84034198c0f1cdd829909009a167b0a011e6ef18681499073
0x8233a4a90332d2dbcba1e71526306f89c252b0e15c842b423b983898fef30f9a,2024-09-12 18:51:35.000000 UTC,USDT,0xa82a26ff8e4eb0d297895f1029e8a8cbe49d37ab,zero_value,0x8fd13193d33276eb2518cbe65b88f70b82a3940a3d82cfd86b4ffcee60b2500b,"[0xee1c4d0cd0df6e95160a04ea61ba4916e6f53dd0e07b2eacbc7b51c260ec4ab2,0x8fd13193d33276eb2518cbe65b88f70b82a3940a3d82cfd86b4ffcee60b2500b,0x8fd13193d33276eb2518cbe65b88f70b82a3940a3d82cfd86b4ffcee60b2500b]",100000,21,https://etherscan.io/tx/0x8233a4a90332d2dbcba1e71526306f89c252b0e15c842b423b983898fef30f9a
